filepath,country,model_version,class_rank,class_uuid,kingdom,tax1,tax2,tax3,tax4,tax5,common_name,score
input/semana30/camera08/IMG_0006.JPG,GT,4.0.1a,4,dff1abeb-acb4-4ea0-909b-9b4895f7d88d,mammalia,carnivora,mustelidae,ictonyx,striatus,zorilla,,0.0195
input/semana30/camera08/IMG_0006.JPG,GT,4.0.1a,5,41930eb4-2283-445a-8758-1f0b2ff43cf9,mammalia,carnivora,mephitidae,spilogale,putorius,eastern spotted skunk,,0.0148
input/semana30/camera08/IMG_0007.JPG,GT,4.0.1a,1,ff28e3a2-9c5e-4697-b949-4ff2f9153ea8,mammalia,carnivora,mephitidae,conepatus,semistriatus,striped hog-nosed skunk,,0.751
input/semana30/camera08/IMG_0007.JPG,GT,4.0.1a,2,a4f40e31-17f6-45b7-8b9d-e32af92a24df,mammalia,carnivora,mustelidae,mellivora,capensis,honey badger,,0.0537
input/semana30/camera08/IMG_0007.JPG,GT,4.0.1a,3,dcccdc62-99a6-46ab-a703-f44c472e0484,mammalia,carnivora,mephitidae,conepatus,leuconotus,american hog-nosed skunk,,0.0347
input/semana30/camera08/IMG_0007.JPG,GT,4.0.1a,4,41930eb4-2283-445a-8758-1f0b2ff43cf9,mammalia,carnivora,mephitidae,spilogale,putorius,eastern spotted skunk,,0.0155
input/semana30/camera08/IMG_0007.JPG,GT,4.0.1a,5,b4c9f453-870b-4ed6-8fd6-9b132ec91a70,mammalia,carnivora,mustelidae,galictis,vittata,greater grison,,0.0118
input/semana30/camera08/IMG_0008.JPG,GT,4.0.1a,1,ff28e3a2-9c5e-4697-b949-4ff2f9153ea8,mammalia,carnivora,mephitidae,conepatus,semistriatus,striped hog-nosed skunk,,0.8995
input/semana30/camera08/IMG_0008.JPG,GT,4.0.1a,2,89d41ec3-af8a-438a-86dd-4a6cb1819f07,mammalia,pilosa,myrmecophagidae,tamandua,tetradactyla,southern tamandua,,0.0153
input/semana30/camera08/IMG_0008.JPG,GT,4.0.1a,3,cc281e22-fc61-46df-8b58-a5879de1db39,mammalia,carnivora,herpestidae,bdeogale,nigripes,black-legged mongoose,,0.0149
input/semana30/camera08/IMG_0008.JPG,GT,4.0.1a,4,25248c94-2e54-4c9d-9939-0d8800296747,mammalia,pilosa,myrmecophagidae,tamandua,mexicana,northern tamandua,,0.0145
input/semana30/camera08/IMG_0008.JPG,GT,4.0.1a,5,a4f40e31-17f6-45b7-8b9d-e32af92a24df,mammalia,carnivora,mustelidae,mellivora,capensis,honey badger,,0.0065
input/semana30/camera08/IMG_0009.JPG,GT,4.0.1a,1,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.9415
input/semana30/camera08/IMG_0009.JPG,GT,4.0.1a,2,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.0272
input/semana30/camera08/IMG_0009.JPG,GT,4.0.1a,3,b57debc1-dff2-48d3-a400-f2b5021e71b0,mammalia,carnivora,procyonidae,procyon,lotor,northern raccoon,,0.0085
input/semana30/camera08/IMG_0009.JPG,GT,4.0.1a,4,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0082
input/semana30/camera08/IMG_0009.JPG,GT,4.0.1a,5,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0057
input/semana30/camera08/IMG_0010.JPG,GT,4.0.1a,1,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,blank,,0.7912
input/semana30/camera08/IMG_0010.JPG,GT,4.0.1a,2,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.0356
input/semana30/camera08/IMG_0010.JPG,GT,4.0.1a,3,9880b662-dc21-453b-aa2f-dd97338f623b,mammalia,rodentia,muridae,,,muridae family,,0.0283
input/semana30/camera08/IMG_0010.JPG,GT,4.0.1a,4,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,mammalia,didelphimorphia,didelphidae,didelphis,pernigra,andean white-eared opossum,,0.0218
input/semana30/camera08/IMG_0010.JPG,GT,4.0.1a,5,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.0176
input/semana30/camera08/IMG_0011.JPG,GT,4.0.1a,1,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,blank,,0.4403
input/semana30/camera08/IMG_0011.JPG,GT,4.0.1a,2,b1352069-a39c-4a84-a949-60044271c0c1,aves,,,,,bird,,0.2859
input/semana30/camera08/IMG_0011.JPG,GT,4.0.1a,3,9ba3565d-9934-4e74-8ef4-d110ad587014,aves,galliformes,phasianidae,phasianus,colchicus,ring-necked pheasant,,0.0448
input/semana30/camera08/IMG_0011.JPG,GT,4.0.1a,4,94d8284e-6193-43b5-b80c-9029cf951675,aves,galliformes,phasianidae,meleagris,gallopavo,wild turkey,,0.0404
input/semana30/camera08/IMG_0011.JPG,GT,4.0.1a,5,86f5b978-4f30-40cc-bd08-be9e3fba27a0,mammalia,rodentia,sciuridae,sciurus,carolinensis,eastern gray squirrel,,0.0197
input/semana30/camera08/IMG_0012.JPG,GT,4.0.1a,1,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,blank,,0.989
input/semana30/camera08/IMG_0012.JPG,GT,4.0.1a,2,e07c537d-08b8-4c31-9768-51e4adf5a5ab,mammalia,rodentia,sciuridae,sciurus,niger,eastern fox squirrel,,0.0036
input/semana30/camera08/IMG_0012.JPG,GT,4.0.1a,3,86f5b978-4f30-40cc-bd08-be9e3fba27a0,mammalia,rodentia,sciuridae,sciurus,carolinensis,eastern gray squirrel,,0.0025
input/semana30/camera08/IMG_0012.JPG,GT,4.0.1a,4,1db1c6e2-2ea9-45a6-ab69-a730133298eb,mammalia,rodentia,sciuridae,tamias,striatus,eastern chipmunk,,0.0016
input/semana30/camera08/IMG_0012.JPG,GT,4.0.1a,5,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,mammalia,cetartiodactyla,cervidae,odocoileus,virginianus,white-tailed deer,,0.0004
input/semana30/camera08/IMG_0013.JPG,GT,4.0.1a,1,b57debc1-dff2-48d3-a400-f2b5021e71b0,mammalia,carnivora,procyonidae,procyon,lotor,northern raccoon,,0.9876
input/semana30/camera08/IMG_0013.JPG,GT,4.0.1a,2,c56031a6-f8ce-4929-b6eb-b5253d4e1cdc,mammalia,carnivora,procyonidae,procyon,cancrivorus,crab-eating raccoon,,0.0049
input/semana30/camera08/IMG_0013.JPG,GT,4.0.1a,3,f2d233e3-80e3-433d-9687-e29ecc7a467a,mammalia,,,,,mammal,,0.0006
input/semana30/camera08/IMG_0013.JPG,GT,4.0.1a,4,ac0e8ba7-7261-4d17-8645-11ed3d02165a,mammalia,carnivora,canidae,vulpes,vulpes,red fox,,0.0005
input/semana30/camera08/IMG_0013.JPG,GT,4.0.1a,5,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,mammalia,cetartiodactyla,cervidae,odocoileus,virginianus,white-tailed deer,,0.0004
input/semana30/camera08/IMG_0014.JPG,GT,4.0.1a,1,b57debc1-dff2-48d3-a400-f2b5021e71b0,mammalia,carnivora,procyonidae,procyon,lotor,northern raccoon,,0.7924
input/semana30/camera08/IMG_0014.JPG,GT,4.0.1a,2,c56031a6-f8ce-4929-b6eb-b5253d4e1cdc,mammalia,carnivora,procyonidae,procyon,cancrivorus,crab-eating raccoon,,0.1317
input/semana30/camera08/IMG_0014.JPG,GT,4.0.1a,3,127278f5-8bf3-4f85-ba19-99e097f17f46,mammalia,carnivora,viverridae,civettictis,civetta,african civet,,0.0275
input/semana30/camera08/IMG_0014.JPG,GT,4.0.1a,4,db136c93-8ac0-49c6-82f2-e3ab8d3c2be1,mammalia,carnivora,canidae,atelocynus,microtis,short-eared dog,,0.0116
input/semana30/camera08/IMG_0014.JPG,GT,4.0.1a,5,f2d233e3-80e3-433d-9687-e29ecc7a467a,mammalia,,,,,mammal,,0.0081
input/semana30/camera08/IMG_0015.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.5919
input/semana30/camera08/IMG_0015.JPG,GT,4.0.1a,2,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.2645
input/semana30/camera08/IMG_0015.JPG,GT,4.0.1a,3,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0737
input/semana30/camera08/IMG_0015.JPG,GT,4.0.1a,4,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0486
input/semana30/camera08/IMG_0015.JPG,GT,4.0.1a,5,20e0c8d9-c445-44b5-87fc-d5bb9724e874,mammalia,carnivora,viverridae,paradoxurus,hermaphroditus,common palm civet,,0.0032
input/semana30/camera08/IMG_0016.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.506
input/semana30/camera08/IMG_0016.JPG,GT,4.0.1a,2,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.3798
input/semana30/camera08/IMG_0016.JPG,GT,4.0.1a,3,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0585
input/semana30/camera08/IMG_0016.JPG,GT,4.0.1a,4,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0161
input/semana30/camera08/IMG_0016.JPG,GT,4.0.1a,5,20e0c8d9-c445-44b5-87fc-d5bb9724e874,mammalia,carnivora,viverridae,paradoxurus,hermaphroditus,common palm civet,,0.009
input/semana30/camera08/IMG_0017.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.9522
input/semana30/camera08/IMG_0017.JPG,GT,4.0.1a,2,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0234
input/semana30/camera08/IMG_0017.JPG,GT,4.0.1a,3,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0118
input/semana30/camera08/IMG_0017.JPG,GT,4.0.1a,4,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.0056
input/semana30/camera08/IMG_0017.JPG,GT,4.0.1a,5,20e0c8d9-c445-44b5-87fc-d5bb9724e874,mammalia,carnivora,viverridae,paradoxurus,hermaphroditus,common palm civet,,0.0034
input/semana30/camera08/IMG_0018.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.5773
input/semana30/camera08/IMG_0018.JPG,GT,4.0.1a,2,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.2997
input/semana30/camera08/IMG_0018.JPG,GT,4.0.1a,3,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0489
input/semana30/camera08/IMG_0018.JPG,GT,4.0.1a,4,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0231
input/semana30/camera08/IMG_0018.JPG,GT,4.0.1a,5,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,mammalia,didelphimorphia,didelphidae,didelphis,pernigra,andean white-eared opossum,,0.0216
input/semana30/camera08/IMG_0019.JPG,GT,4.0.1a,1,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.9268
input/semana30/camera08/IMG_0019.JPG,GT,4.0.1a,2,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.0404
input/semana30/camera08/IMG_0019.JPG,GT,4.0.1a,3,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,mammalia,didelphimorphia,didelphidae,didelphis,pernigra,andean white-eared opossum,,0.0113
input/semana30/camera08/IMG_0019.JPG,GT,4.0.1a,4,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0068
input/semana30/camera08/IMG_0019.JPG,GT,4.0.1a,5,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0028
input/semana30/camera08/IMG_0020.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.8215
input/semana30/camera08/IMG_0020.JPG,GT,4.0.1a,2,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.112
input/semana30/camera08/IMG_0020.JPG,GT,4.0.1a,3,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0334
input/semana30/camera08/IMG_0020.JPG,GT,4.0.1a,4,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,mammalia,didelphimorphia,didelphidae,didelphis,pernigra,andean white-eared opossum,,0.0128
