filepath,country,model_version,detection_index,category,label,conf,bbox_x,bbox_y,bbox_w,bbox_h
input/semana30/camera08/IMG_0037.JPG,GT,4.0.1a,1,1,animal,0.6836,0.8947,0.3823,0.1053,0.3413
input/semana30/camera08/IMG_0037.JPG,GT,4.0.1a,2,1,animal,0.1379,0.0945,0.381,0.2816,0.3803
input/semana30/camera08/IMG_0038.JPG,GT,4.0.1a,1,1,animal,0.0761,0.0551,0.3433,0.7608,0.4147
input/semana30/camera08/IMG_0038.JPG,GT,4.0.1a,2,1,animal,0.0761,0.0528,0.381,0.3266,0.3796
input/semana30/camera08/IMG_0039.JPG,GT,4.0.1a,1,1,animal,0.8886,0.8051,0.5509,0.1142,0.1515
input/semana30/camera08/IMG_0040.JPG,GT,4.0.1a,1,1,animal,0.8993,0.8047,0.5509,0.1105,0.1541
input/semana30/camera08/IMG_0041.JPG,GT,4.0.1a,1,1,animal,0.8508,0.5089,0.5622,0.0792,0.1481
input/semana30/camera08/IMG_0042.JPG,GT,4.0.1a,1,1,animal,0.9453,0.5123,0.5331,0.1343,0.1713
input/semana30/camera08/IMG_0044.JPG,GT,4.0.1a,1,1,animal,0.043,0.9702,0.5503,0.0298,0.1964
input/semana30/camera08/IMG_0045.JPG,GT,4.0.1a,1,1,animal,0.8573,0.5145,0.5179,0.1094,0.1653
input/semana30/camera08/IMG_0046.JPG,GT,4.0.1a,1,1,animal,0.8816,0.5089,0.5106,0.0978,0.1706
input/semana30/camera08/IMG_0047.JPG,GT,4.0.1a,1,1,animal,0.8109,0.4249,0.5979,0.1012,0.1197
input/semana30/camera08/IMG_0048.JPG,GT,4.0.1a,1,1,animal,0.8887,0.4118,0.5794,0.128,0.1389
input/semana30/camera08/IMG_0049.JPG,GT,4.0.1a,1,1,animal,0.8951,0.4654,0.6138,0.1622,0.1032
input/semana30/camera08/IMG_0050.JPG,GT,4.0.1a,1,1,animal,0.8596,0.4866,0.6065,0.1272,0.1124
input/semana30/camera08/IMG_0051.JPG,GT,4.0.1a,1,1,animal,0.9205,0.59,0.539,0.0725,0.1442
input/semana30/camera08/IMG_0052.JPG,GT,4.0.1a,1,1,animal,0.6254,0.7273,0.6448,0.0625,0.1296
input/semana30/camera08/IMG_0053.JPG,GT,4.0.1a,1,1,animal,0.9164,0.7165,0.6878,0.1231,0.1872
input/semana30/camera08/IMG_0055.JPG,GT,4.0.1a,1,1,animal,0.881,0.4825,0.5351,0.0774,0.1739
input/semana30/camera08/IMG_0056.JPG,GT,4.0.1a,1,1,animal,0.8867,0.4821,0.5364,0.0804,0.172
input/semana30/camera08/IMG_0057.JPG,GT,4.0.1a,1,1,animal,0.9115,0.5093,0.5589,0.1202,0.1224
input/semana30/camera08/IMG_0058.JPG,GT,4.0.1a,1,1,animal,0.9287,0.5997,0.5112,0.0792,0.17
input/semana30/camera08/IMG_0059.JPG,GT,4.0.1a,1,1,animal,0.8917,0.471,0.5985,0.1488,0.1746
input/semana30/camera08/IMG_0060.JPG,GT,4.0.1a,1,1,animal,0.9257,0.4014,0.8062,0.1555,0.1475
input/semana30/camera08/IMG_0061.JPG,GT,4.0.1a,1,1,animal,0.9661,0.5164,0.6177,0.1451,0.2996
input/semana30/camera08/IMG_0062.JPG,GT,4.0.1a,1,1,animal,0.9471,0.5629,0.5483,0.0506,0.2335
input/semana30/camera08/IMG_0063.JPG,GT,4.0.1a,1,1,animal,0.943,0.4304,0.5701,0.1499,0.1984
input/semana30/camera08/IMG_0064.JPG,GT,4.0.1a,1,1,animal,0.8703,0.3917,0.6118,0.1544,0.1217
input/semana30/camera08/IMG_0065.JPG,GT,4.0.1a,1,1,animal,0.8941,0.6443,0.4907,0.1001,0.2579
input/semana30/camera08/IMG_0066.JPG,GT,4.0.1a,1,1,animal,0.8915,0.4728,0.5615,0.1313,0.1455
input/semana30/camera08/IMG_0067.JPG,GT,4.0.1a,1,1,animal,0.0282,0.7891,0.4239,0.0253,0.0827
input/semana30/camera08/IMG_0068.JPG,GT,4.0.1a,1,1,animal,0.0432,0.7883,0.4253,0.0257,0.0688
input/semana30/camera08/IMG_0073.JPG,GT,4.0.1a,1,1,animal,0.024,0.5621,0.9028,0.122,0.0529
input/semana30/camera08/IMG_0073.JPG,GT,4.0.1a,2,1,animal,0.0141,0.9568,0.4769,0.0432,0.1925
input/semana30/camera08/IMG_0075.JPG,GT,4.0.1a,1,1,animal,0.0355,0.5621,0.8981,0.122,0.0569
input/semana30/camera08/IMG_0076.JPG,GT,4.0.1a,1,1,animal,0.0918,0.901,0.6329,0.0532,0.0655
